lsoa11,samhi_index.2011,samhi_dec.2011,samhi_index.2012,samhi_dec.2012,samhi_index.2013,samhi_dec.2013,samhi_index.2014,samhi_dec.2014,samhi_index.2015,samhi_dec.2015,samhi_index.2016,samhi_dec.2016,samhi_index.2017,samhi_dec.2017,samhi_index.2018,samhi_dec.2018
E01000163,-0.234011201,7,-0.302792064,6,0.001507593,7,0.00538518,7,-0.000149606,6,-0.396278779,4,-0.268872695,4,0.022747002,5
E01000164,-0.424417559,6,-0.615380021,4,-0.921907178,2,-0.673414403,3,-0.515514221,4,-0.741438274,2,-0.510085538,3,-0.442235995,3
E01000165,-1.226057922,1,-1.189002156,1,-1.23927676,1,-1.005551586,1,-0.84307145,2,-1.057709937,1,-1.063313845,1,-0.77370372,1
E01000166,-0.720343034,4,-0.604563898,4,-1.104805951,1,-0.612600617,3,-0.887560105,1,-0.262162887,5,-0.568491576,2,-0.526984061,2
E01000167,-0.531060434,6,-0.145761356,7,-0.222636157,6,0.061694809,7,0.156899787,7,0.054762751,6,0.354046164,7,0.678289109,8
E01000168,-1.076755222,2,-1.066649738,1,-0.833558834,3,-1.17385206,1,-1.009643596,1,-0.988269793,1,-1.014336319,1,-0.770802927,1
E01000169,-0.616376635,5,-0.605094653,4,-0.707147981,3,-0.500938554,4,-0.75313617,2,-0.792401439,2,-0.821116046,1,-0.777765145,1
E01000170,-0.306522146,7,-0.482377152,5,-0.468149944,5,-0.664676621,3,-0.293874,5,-0.550253093,3,-0.312972593,4,-0.188272529,4
E01000171,-0.867384979,3,-0.468496206,5,-0.560144754,4,-0.439096722,5,-0.223778516,5,-0.489198068,3,-0.523543587,3,-0.316876976,3
E01000172,-1.00981704,2,-0.993947368,2,-1.052663699,1,-1.004806988,1,-0.885614872,1,-0.913100384,1,-0.943487465,1,-1.02139813,1
E01000173,-1.063653104,2,-1.002644345,2,-1.067045041,1,-0.871312156,2,-0.90292175,1,-0.879771937,1,-0.817490625,1,-0.550897274,2
E01000174,-0.532535123,6,-0.303640332,6,-0.355885083,6,-0.287905644,5,0.058909084,7,-0.305081941,4,0.179262037,6,0.144886447,6
E01000175,-0.877956938,3,-1.083677991,1,-0.428831641,5,-0.747210069,3,-0.760095391,2,-0.785862349,2,-0.950168838,1,-0.845439299,1
E01000176,-0.538430084,6,-0.221195245,7,-0.495490486,5,0.020702052,7,-0.357350085,5,-0.253822218,5,-0.112060641,5,0.367220951,7
E01000177,-1.080535992,2,-0.82758674,3,-1.316400382,1,-1.147401426,1,-0.904222744,1,-1.172422379,1,-1.094945754,1,-0.930543253,1
E01000178,-1.008446377,2,-0.840776968,3,-1.111312611,1,-1.0258662,1,-0.876252888,2,-0.765899055,2,-0.925865005,1,-0.391473554,3
E01000179,-1.137010208,1,-0.914206183,2,-1.291387827,1,-0.993767729,1,-0.836997665,2,-0.736755835,2,-0.932998642,1,-0.679451302,1
E01000180,-0.982749105,2,-0.499845869,5,-0.618652912,4,-0.660800293,3,-0.620704885,3,-0.828642068,2,-0.730014555,2,-0.438493354,3
E01000181,-1.109019311,2,-1.161351767,1,-1.133956265,1,-1.194543082,1,-1.053068119,1,-0.95064296,1,-1.247514872,1,-0.866290431,1
