CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F167,F184,F185,F2340,F2341,F2342,F130016,F130017,F130018,F130019,F130020,F130021,F130022,F130023,F130024,F130025,F130026,F130731,F130732,F130733,F130734,F130735,F130736,F130737,F130738,F130739,F130740,F130800,F130801,F130802,F130803,F130804,F130805,F130806,F130807,F130808,F130809,F131145,F131146,F131147,F131148,F131149,F131150,F131151,F131152,F131153,F131154,F131490,F131491,F131492,F131493,F131494,F131495,F131496,F131497,F131498,F131499,F131904,F131905,F131906,F131907,F131908,F131909,F131910,F131911,F131912,F131913,F132180,F132181,F132182,F132183,F132184,F132185,F132186,F132187,F132188,F132189,F136983,
37366,E01018640,Cheshire East 021D,Lower Super Output Areas and Data Zones,LSOADZ,1311,38.82533,39,1311,653,658,1311,1256,0,8,5,1,4,1,28,5,3,1311,846,7,2,5,10,0,1,351,89,1256,814,5,1,5,0,0,1,346,84,8,1,0,0,0,3,0,0,2,2,39,27,2,1,0,5,0,0,1,3,5,3,0,0,0,0,0,0,2,0,3,1,0,0,0,2,0,0,0,0,1311,
37367,E01018641,Cheshire East 014A,Lower Super Output Areas and Data Zones,LSOADZ,1280,43.26094,46,1280,641,639,1280,1245,0,12,2,0,0,10,3,7,1,1280,936,2,2,1,3,0,1,259,76,1245,918,2,0,1,0,0,1,250,73,12,5,0,0,0,2,0,0,2,3,15,6,0,2,0,1,0,0,6,0,7,6,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1280,
37368,E01018642,Cheshire East 014B,Lower Super Output Areas and Data Zones,LSOADZ,1382,40.18524,44,1382,655,727,1382,1315,0,7,23,0,0,24,4,3,6,1382,1004,2,18,1,6,0,1,254,96,1315,983,2,0,1,1,0,1,236,91,7,2,0,0,0,0,0,0,3,2,51,17,0,17,0,0,0,0,14,3,3,1,0,1,0,0,0,0,1,0,6,1,0,0,0,5,0,0,0,0,1382,
37369,E01018643,Cheshire East 014C,Lower Super Output Areas and Data Zones,LSOADZ,1925,39.89818,43,1925,972,953,1925,1868,0,11,16,1,0,13,5,2,9,1925,1429,9,14,0,5,0,3,344,121,1868,1415,3,0,0,0,0,3,329,118,11,4,0,0,0,0,0,0,5,2,35,3,6,14,0,1,0,0,10,1,2,2,0,0,0,0,0,0,0,0,9,5,0,0,0,4,0,0,0,0,1925,
37370,E01018644,Cheshire East 014D,Lower Super Output Areas and Data Zones,LSOADZ,1374,45.00146,46,1374,693,681,1374,1298,0,10,53,1,3,6,0,0,3,1374,922,4,45,0,9,0,7,297,90,1298,908,4,0,0,1,0,6,291,88,10,8,0,0,0,1,0,0,1,0,63,5,0,45,0,6,0,0,5,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,1372,
37371,E01018645,Cheshire East 019B,Lower Super Output Areas and Data Zones,LSOADZ,1797,43.07735,43,1797,852,945,1797,1735,1,12,5,7,0,1,13,23,0,1797,1190,4,1,0,8,0,3,472,119,1736,1149,3,0,0,1,0,3,467,113,12,9,1,0,0,0,0,0,2,0,26,9,0,1,0,7,0,0,3,6,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1797,
37372,E01018646,Cheshire East 019C,Lower Super Output Areas and Data Zones,LSOADZ,1781,38.70466,39,1781,847,934,1781,1729,0,23,11,0,0,2,11,4,1,1781,1157,1,10,0,1,1,2,465,144,1729,1124,1,0,0,0,0,2,461,141,23,18,0,0,0,0,0,0,3,2,24,11,0,10,0,0,1,0,1,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1781,
37373,E01018647,Cheshire East 019D,Lower Super Output Areas and Data Zones,LSOADZ,1544,42.06606,44,1544,758,786,1544,1492,0,24,9,5,1,4,4,4,1,1544,1070,3,6,0,13,0,7,367,78,1492,1045,1,0,0,2,0,7,359,78,24,17,0,0,0,1,0,0,6,0,23,5,2,6,0,9,0,0,1,0,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1544,
37374,E01018648,Cheshire East 007C,Lower Super Output Areas and Data Zones,LSOADZ,2172,45.77624,48,2172,1070,1102,2172,2076,0,38,16,15,1,8,4,5,9,2172,1606,9,3,18,30,4,4,357,141,2076,1569,4,0,17,4,0,4,342,136,38,21,1,0,0,3,0,0,11,2,44,9,4,3,0,19,4,0,3,2,5,5,0,0,0,0,0,0,0,0,9,2,0,0,1,4,0,0,1,1,2072,
37375,E01018649,Cheshire East 007D,Lower Super Output Areas and Data Zones,LSOADZ,1362,52.30837,57,1362,656,706,1362,1336,1,15,3,2,0,1,2,1,1,1362,1033,2,1,9,10,0,2,210,95,1337,1025,1,0,9,5,0,2,204,91,15,5,0,0,0,2,0,0,5,3,8,2,1,1,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1283,
37376,E01018650,Cheshire East 007E,Lower Super Output Areas and Data Zones,LSOADZ,1688,42.20438,43,1688,802,886,1688,1646,0,13,4,4,1,9,4,5,2,1688,1232,2,0,8,8,1,2,318,117,1646,1218,2,0,8,1,0,2,310,105,13,5,0,0,0,1,0,0,2,5,22,3,0,0,0,5,1,0,6,7,5,4,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1642,
37377,E01018651,Cheshire East 007F,Lower Super Output Areas and Data Zones,LSOADZ,1582,42.71745,41,1582,621,961,1582,1425,22,28,16,23,4,12,17,21,14,1582,1019,8,6,8,41,11,3,379,107,1447,985,3,0,8,3,0,2,354,92,28,10,0,0,0,7,0,1,7,3,72,7,5,6,0,21,11,0,11,11,21,15,0,0,0,4,0,0,2,0,14,2,0,0,0,6,0,0,5,1,1170,
